# Morales-Soto et al., ICRC 37, 330 (2022)
# Quantity	<Etot> [GeV]	Bin range	Flux (per Etot bin) [# (GeV m2 s sr)-1]	Stat Err(-)	Stat Err(+)	Syst Err(-)	Syst Err(+)
AllParticles	11220.2	-	5.018350e-7	0.00000000466338	0.00000000292853	0.0000000335086	0.0000000357028
AllParticles	14125.4	-	2.794180e-7	0.0000000029167	0.00000000203266	0.000000018584	0.0000000208636
AllParticles	17782.8	-	1.557790e-7	0.00000000182389	0.0000000013992	0.000000010071	0.0000000120574
AllParticles	22387.2	-	8.679520e-8	0.00000000107783	0.000000000795156	0.00000000541019	0.00000000693688
AllParticles	28183.8	-	4.822100e-8	0.000000000626899	0.000000000451505	0.00000000284751	0.00000000395373
AllParticles	35481.3	-	2.668310e-8	0.000000000331129	0.000000000244943	0.00000000146152	0.00000000223823
AllParticles	44668.4	-	1.468770e-8	0.000000000181517	0.00000000014172	0.000000000746955	0.00000000126279
AllParticles	56234.1	-	8.042310e-9	0.0000000000923273	0.0000000000777564	0.000000000372971	0.0000000007022
AllParticles	70794.6	-	4.379420e-9	0.000000000045081	0.0000000000422234	0.000000000185109	0.000000000380004
AllParticles	89125.1	-	2.371190e-9	0.0000000000215717	0.0000000000224389	0.0000000000919883	0.000000000202563
AllParticles	112202	-	1.279500e-9	0.0000000000122034	0.0000000000138033	0.0000000000469755	0.00000000010607
AllParticles	141254	-	6.888560e-10	0.0000000000064274	0.00000000000879583	0.0000000000235916	0.0000000000542675
AllParticles	177828	-	3.697490e-10	0.00000000000471108	0.00000000000411305	0.0000000000117127	0.0000000000287989
AllParticles	223872	-	1.984490e-10	0.00000000000236101	0.0000000000027069	0.0000000000055922	0.0000000000163492
AllParticles	281838	-	1.064050e-10	0.00000000000133153	0.00000000000135215	0.00000000000319719	0.0000000000085133
AllParticles	354813	-	5.661380e-11	0.00000000000110666	0.000000000000615229	0.00000000000170139	0.00000000000491329
AllParticles	446684	-	3.008300e-11	0.000000000000677538	0.000000000000414508	0.000000000000931896	0.00000000000290884
AllParticles	562341	-	1.602760e-11	0.000000000000482038	0.000000000000425262	0.000000000000679724	0.00000000000159649
AllParticles	707946	-	8.579490e-12	0.000000000000203492	0.000000000000272833	0.000000000000465869	0.000000000000798084
AllParticles	891251	-	4.597340e-12	0.000000000000147235	0.000000000000111813	0.000000000000349328	0.000000000000384547
